OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACIL,RACK_CAPAC,DELINEATOR,FINISH_TYP,SURFACE_TY,INSTALL_DA,MOUNT_TYPE,COLOR,MANUFACTUR,MODEL_TYPE,CONDITION,ASSET_COND,CONDITION_,LATITUDE,LONGITUDE,Rack Location
516624,516624,16,1241,43,29,BKR-1087,BKR,1ST AVE W 0040 BLOCK W SIDE (  24) 24 FT N/O W HARRISON ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-21T00:00:00,47.6222,-122.3582,"{'latitude': '47.6222', 'longitude': '-122.3582', 'needs_recoding': False}"
516625,516625,16,1241,367,29,BKR-1088,BKR,1ST AVE W 0040 BLOCK W SIDE ( 348) 45 FT S/O W REPUBLICAN ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-07-21T00:00:00,47.6231,-122.3581,"{'latitude': '47.6231', 'longitude': '-122.3581', 'needs_recoding': False}"
516626,516626,16,1241,145,29,BKR-1980,BKR,1ST AVE W 0040 BLOCK W SIDE ( 126) 126 FT N/O W HARRISON ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6225,-122.3581,"{'latitude': '47.6225', 'longitude': '-122.3581', 'needs_recoding': False}"
516627,516627,16,2117,532,27,BKR-2347,BKR,15TH AVE NW 0770 BLOCK W SIDE ( 509) 109 FT S/O NW 80TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6865,-122.3769,"{'latitude': '47.6865', 'longitude': '-122.3769', 'needs_recoding': False}"
516628,516628,16,2117,451,-27,BKR-2354,BKR,15TH AVE NW 0770 BLOCK E SIDE ( 428) 190 FT S/O NW 80TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6863,-122.3767,"{'latitude': '47.6863', 'longitude': '-122.3767', 'needs_recoding': False}"
516629,516629,16,2117,548,-27,BKR-2272,BKR,15TH AVE NW 0770 BLOCK E SIDE ( 525) 93 FT S/O NW 80TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6866,-122.3767,"{'latitude': '47.6866', 'longitude': '-122.3767', 'needs_recoding': False}"
516630,516630,16,2117,301,-27,BKR-2277,BKR,15TH AVE NW 0770 BLOCK E SIDE ( 278) 278 FT N/O NW 77TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6859,-122.3767,"{'latitude': '47.6859', 'longitude': '-122.3767', 'needs_recoding': False}"
516631,516631,16,2118,492,-27,BKR-1719,BKR,15TH AVE NW 0800 BLOCK E SIDE ( 469) 158 FT S/O NW 83RD ST,SGL,2,False,GALV,PCC,2006-06-15T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6882,-122.3767,"{'latitude': '47.6882', 'longitude': '-122.3767', 'needs_recoding': False}"
516632,516632,16,2118,144,27,BKR-2266,BKR,15TH AVE NW 0800 BLOCK W SIDE ( 121) 121 FT N/O NW 80TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6873,-122.3769,"{'latitude': '47.6873', 'longitude': '-122.3769', 'needs_recoding': False}"
516633,516633,16,2124,151,34,BKR-128,BKR,15TH AVE NW 0920 BLOCK W SIDE ( 121) 121 FT N/O NW 92ND ST,SGL,10,False,GALV,PCC-PAD,2006-06-27T00:00:00,SUFMT,NONE,BKR-CORA,BKR-W7510,GOOD,GOOD,2009-08-04T00:00:00,47.6965,-122.3769,"{'latitude': '47.6965', 'longitude': '-122.3769', 'needs_recoding': False}"
516634,516634,16,2124,160,34,BKR-879,BKR,15TH AVE NW 0920 BLOCK W SIDE ( 130) 130 FT N/O NW 92ND ST,SGL,10,False,GALV,PCC,2009-04-13T00:00:00,SUFMT,NONE,BKR-CORA,BKR-W7510,GOOD,GOOD,2009-08-13T00:00:00,47.6965,-122.3769,"{'latitude': '47.6965', 'longitude': '-122.3769', 'needs_recoding': False}"
516635,516635,16,3723,487,27,BKR-1632,BKR,25TH AVE NE 0510 BLOCK W SIDE ( 464) 114 FT S/O NE 54TH ST,SGL,2,False,PAINT,PCC,,STBS,BRN,OTHER,,GOOD,GOOD,2009-07-28T00:00:00,47.6676,-122.3007,"{'latitude': '47.6676', 'longitude': '-122.3007', 'needs_recoding': False}"
516636,516636,16,3723,397,27,BKR-1633,BKR,25TH AVE NE 0510 BLOCK W SIDE ( 374) 204 FT S/O NE 54TH ST,SGL,2,False,PAINT,PCC,,STBS,BRN,OTHER,,GOOD,GOOD,2009-07-28T00:00:00,47.6674,-122.3007,"{'latitude': '47.6674', 'longitude': '-122.3007', 'needs_recoding': False}"
516637,516637,16,3723,320,27,BKR-1634,BKR,25TH AVE NE 0510 BLOCK W SIDE ( 297) 281 FT S/O NE 54TH ST,SGL,2,False,PAINT,PCC,,STBS,BRN,OTHER,,GOOD,GOOD,2009-07-28T00:00:00,47.6671,-122.3007,"{'latitude': '47.6671', 'longitude': '-122.3007', 'needs_recoding': False}"
516638,516638,16,3723,252,27,BKR-1635,BKR,25TH AVE NE 0510 BLOCK W SIDE ( 229) 229 FT N/O NE BLAKELEY ST,SGL,2,False,PAINT,PCC,,STBS,BRN,OTHER,,GOOD,GOOD,2009-07-28T00:00:00,47.667,-122.3007,"{'latitude': '47.667', 'longitude': '-122.3007', 'needs_recoding': False}"
516639,516639,16,3723,174,27,BKR-1636,BKR,25TH AVE NE 0510 BLOCK W SIDE ( 151) 151 FT N/O NE BLAKELEY ST,SGL,2,False,PAINT,PCC,,STBS,BRN,OTHER,,GOOD,GOOD,2009-07-28T00:00:00,47.6667,-122.3007,"{'latitude': '47.6667', 'longitude': '-122.3007', 'needs_recoding': False}"
516640,516640,16,3723,575,-27,BKR-1637,BKR,25TH AVE NE 0510 BLOCK E SIDE ( 552) 26 FT S/O NE 54TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-28T00:00:00,47.6678,-122.3005,"{'latitude': '47.6678', 'longitude': '-122.3005', 'needs_recoding': False}"
516641,516641,16,3723,280,-27,BKR-890,BKR,25TH AVE NE 0510 BLOCK E SIDE ( 257) 257 FT N/O NE BLAKELEY ST,SGL,2,False,GALV,PCC,2009-04-01T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-28T00:00:00,47.667,-122.3005,"{'latitude': '47.667', 'longitude': '-122.3005', 'needs_recoding': False}"
516642,516642,16,4515,202,41,BKR-2822,BKR,3RD AVE S 0020 BLOCK E SIDE ( 184) 114 FT N/O S MAIN ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-10-15T00:00:00,47.6003,-122.3301,"{'latitude': '47.6003', 'longitude': '-122.3301', 'needs_recoding': False}"
516643,516643,16,3281,230,-30,BKR-120,BKR,22ND AVE NW 0560 BLOCK E SIDE ( 211) 29 FT S/O NW 57TH ST,SGL,2,False,GALV,PCC,2005-05-18T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,GOOD,2009-08-03T00:00:00,47.6701,-122.3846,"{'latitude': '47.6701', 'longitude': '-122.3846', 'needs_recoding': False}"
516644,516644,16,3281,145,-30,BKR-169,BKR,22ND AVE NW 0560 BLOCK E SIDE ( 126) 114 FT S/O NW 57TH ST,SGL,2,False,GALV,PCC,2005-05-18T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,GOOD,2009-08-03T00:00:00,47.6699,-122.3846,"{'latitude': '47.6699', 'longitude': '-122.3846', 'needs_recoding': False}"
516645,516645,16,3281,145,29,BKR-2300,BKR,22ND AVE NW 0560 BLOCK W SIDE ( 127) 113 FT S/O NW 57TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6699,-122.3849,"{'latitude': '47.6699', 'longitude': '-122.3849', 'needs_recoding': False}"
516646,516646,16,3281,59,-30,BKR-240,BKR,22ND AVE NW 0560 BLOCK E SIDE (  40) 40 FT N/O NW 56TH ST,SGL,2,False,GALV,PCC,2005-05-18T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,GOOD,2009-08-03T00:00:00,47.6696,-122.3846,"{'latitude': '47.6696', 'longitude': '-122.3846', 'needs_recoding': False}"
516647,516647,16,3282,49,17,BKR-2298,BKR,22ND AVE NW 0570 BLOCK W SIDE (  36) 36 FT N/O NW 57TH ST,SGL,3,False,PAINT,PCC,,STBS,GRY,OTHER,BKR-RIBON,GOOD,GOOD,2009-08-03T00:00:00,47.6703,-122.3848,"{'latitude': '47.6703', 'longitude': '-122.3848', 'needs_recoding': False}"
516648,516648,16,3303,78,17,BKR-597,BKR,22ND AVE S 0040 BLOCK E SIDE (  65) 65 FT S/O S JACKSON ST,SGL,4,False,GALV,PCC,2008-03-17T00:00:00,SUFMT,NONE,BKR-CORA,BKR-W2704,GOOD,GOOD,2009-07-24T00:00:00,47.5991,-122.3032,"{'latitude': '47.5991', 'longitude': '-122.3032', 'needs_recoding': False}"
516649,516649,16,3734,522,-27,BKR-902,BKR,25TH AVE NE 0800 BLOCK E SIDE ( 499) 84 FT S/O RAVENNA S AVE NE,SGL,2,False,GALV,PCC,2007-12-20T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-14T00:00:00,1,1,"{'latitude': '1.0', 'longitude': '1.0', 'needs_recoding': False}"
516650,516650,16,1998,54,17,BKR-1174,BKR,15TH AVE 0160 BLOCK W SIDE (  41) 41 FT N/O E PINE ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-20T00:00:00,47.6154,-122.3128,"{'latitude': '47.6154', 'longitude': '-122.3128', 'needs_recoding': False}"
516651,516651,16,1999,234,17,BKR-1175,BKR,15TH AVE 0170 BLOCK W SIDE ( 221) 184 FT S/O E HOWELL ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-07-20T00:00:00,47.6171,-122.3128,"{'latitude': '47.6171', 'longitude': '-122.3128', 'needs_recoding': False}"
516652,516652,16,2001,103,17,BKR-1338,BKR,15TH AVE E 0010 BLOCK W SIDE (  90) 90 FT N/O E DENNY WAY,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6188,-122.3128,"{'latitude': '47.6188', 'longitude': '-122.3128', 'needs_recoding': False}"
516653,516653,16,2001,74,-17,BKR-575,BKR,15TH AVE E 0010 BLOCK E SIDE (  61) 61 FT N/O E DENNY WAY,SGL,2,False,GALV,PCC,2001-12-06T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6187,-122.3127,"{'latitude': '47.6187', 'longitude': '-122.3127', 'needs_recoding': False}"
516654,516654,16,2004,172,-17,BKR-1229,BKR,15TH AVE E 0030 BLOCK E SIDE ( 159) 45 FT S/O E THOMAS N ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.621,-122.3126,"{'latitude': '47.621', 'longitude': '-122.3126', 'needs_recoding': False}"
516655,516655,16,1567,157,24,BKR-1722,BKR,12TH AVE NE 0430 BLOCK W SIDE ( 135) 135 FT N/O NE 43RD ST,SGL,2,False,GALV,PCC,2006-04-07T00:00:00,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,GOOD,2009-08-17T00:00:00,47.6603,-122.3156,"{'latitude': '47.6603', 'longitude': '-122.3156', 'needs_recoding': False}"
516656,516656,16,1567,363,24,BKR-195,BKR,12TH AVE NE 0430 BLOCK W SIDE ( 341) 166 FT S/O NE 45TH ST,SGL,2,False,GALV,PCC,2006-04-07T00:00:00,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,GOOD,2009-08-26T00:00:00,47.6608,-122.3156,"{'latitude': '47.6608', 'longitude': '-122.3156', 'needs_recoding': False}"
516657,516657,16,1567,115,24,BKR-349,BKR,12TH AVE NE 0430 BLOCK W SIDE (  93) 93 FT N/O NE 43RD ST,SGL,2,False,GALV,PCC,2006-04-07T00:00:00,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,GOOD,2009-08-17T00:00:00,47.6601,-122.3156,"{'latitude': '47.6601', 'longitude': '-122.3156', 'needs_recoding': False}"
516658,516658,16,1579,57,27,BKR-483,BKR,12TH AVE NE 0640 BLOCK W SIDE (  34) 34 FT N/O NE 64TH ST,SGL,2,False,GALV,PCC,2008-09-22T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-30T00:00:00,47.6751,-122.3158,"{'latitude': '47.6751', 'longitude': '-122.3158', 'needs_recoding': False}"
516659,516659,16,1535,82,-34,BKR-1165,BKR,12TH AVE 0110 BLOCK E SIDE (  69) 69 FT N/O E SPRING ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6118,-122.3166,"{'latitude': '47.6118', 'longitude': '-122.3166', 'needs_recoding': False}"
516660,516660,16,1535,172,40,BKR-1166,BKR,12TH AVE 0110 BLOCK W SIDE ( 170) 170 FT N/O E SPRING ST,ONST,14,True,GALV,PCC,,SUFMT,NONE,BKR-DERO,BKR-OSBPC,GOOD,GOOD,2009-07-22T00:00:00,47.612,-122.3169,"{'latitude': '47.612', 'longitude': '-122.3169', 'needs_recoding': False}"
516661,516661,16,1535,393,40,BKR-607,BKR,12TH AVE 0110 BLOCK W SIDE ( 391) 67 FT S/O E MADISON ST,SGL,2,False,GALV,PCC,2002-11-22T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6126,-122.3169,"{'latitude': '47.6126', 'longitude': '-122.3169', 'needs_recoding': False}"
516662,516662,16,1535,96,40,BKR-643,BKR,12TH AVE 0110 BLOCK W SIDE (  94) 94 FT N/O E SPRING ST,SGL,2,False,GALV,PCC-PAD,2007-12-20T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6118,-122.3169,"{'latitude': '47.6118', 'longitude': '-122.3169', 'needs_recoding': False}"
516664,516664,16,1535,195,40,BKR-669,BKR,12TH AVE 0110 BLOCK W SIDE ( 193) 193 FT N/O E SPRING ST,SGL,2,False,GALV,PCC,2007-12-20T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6121,-122.3169,"{'latitude': '47.6121', 'longitude': '-122.3169', 'needs_recoding': False}"
516665,516665,16,1535,117,40,BKR-672,BKR,12TH AVE 0110 BLOCK W SIDE ( 115) 115 FT N/O E SPRING ST,SGL,2,False,GALV,PCC-PAD,2007-12-20T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6119,-122.3169,"{'latitude': '47.6119', 'longitude': '-122.3169', 'needs_recoding': False}"
516666,516666,16,1546,65,32,BKR-207,BKR,12TH AVE 0150 BLOCK W SIDE (  40) 40 FT N/O E PIKE ST,SGL,2,False,GALV,PCC,2007-08-13T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-20T00:00:00,47.6143,-122.317,"{'latitude': '47.6143', 'longitude': '-122.317', 'needs_recoding': False}"
516668,516668,16,1547,253,39,BKR-1086,BKR,12TH AVE 0160 BLOCK W SIDE ( 231) 169 FT S/O E OLIVE ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-07-21T00:00:00,47.616,-122.317,"{'latitude': '47.616', 'longitude': '-122.317', 'needs_recoding': False}"
516669,516669,16,1547,52,-39,BKR-1035,BKR,12TH AVE 0160 BLOCK E SIDE (  34) 34 FT N/O E PINE ST,SGL,2,False,GALV,PCC,2009-03-31T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,GOOD,2009-07-21T00:00:00,47.6154,-122.3167,"{'latitude': '47.6154', 'longitude': '-122.3167', 'needs_recoding': False}"
516670,516670,16,1547,87,39,BKR-2079,BKR,12TH AVE 0160 BLOCK W SIDE (  65) 65 FT N/O E PINE ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-09-19T00:00:00,47.6155,-122.317,"{'latitude': '47.6155', 'longitude': '-122.317', 'needs_recoding': False}"
516671,516671,16,1547,247,39,BKR-2177,BKR,12TH AVE 0160 BLOCK W SIDE ( 225) 175 FT S/O E OLIVE ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-09-18T00:00:00,47.6159,-122.317,"{'latitude': '47.6159', 'longitude': '-122.317', 'needs_recoding': False}"
516672,516672,16,1548,246,-39,BKR-1545,BKR,12TH AVE 0170 BLOCK E SIDE ( 233) 167 FT S/O E HOWELL ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-07-21T00:00:00,47.6171,-122.3167,"{'latitude': '47.6171', 'longitude': '-122.3167', 'needs_recoding': False}"
516673,516673,16,1548,223,39,BKR-2176,BKR,12TH AVE 0170 BLOCK W SIDE ( 210) 190 FT S/O E HOWELL ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-09-18T00:00:00,47.617,-122.317,"{'latitude': '47.617', 'longitude': '-122.317', 'needs_recoding': False}"
516674,516674,16,1185,239,-36,BKR-1353,BKR,1ST AVE S 0010 BLOCK W SIDE ( 222) 48 FT N/O S WASHINGTON ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,,47.6011,-122.3343,"{'latitude': '47.6011', 'longitude': '-122.3343', 'needs_recoding': False}"
516675,516675,16,1185,78.5,33,BKR-1509,BKR,1ST AVE S 0010 BLOCK E SIDE (  59) 59 FT S/O YESLER WAY,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,,47.6015,-122.334,"{'latitude': '47.6015', 'longitude': '-122.334', 'needs_recoding': False}"
516676,516676,16,1185,144.5,33,BKR-2835,BKR,1ST AVE S 0010 BLOCK E SIDE ( 125) 125 FT S/O YESLER WAY,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-10-15T00:00:00,47.6013,-122.334,"{'latitude': '47.6013', 'longitude': '-122.334', 'needs_recoding': False}"
516677,516677,16,1186,134,-32,BKR-1419,BKR,1ST AVE S 0020 BLOCK W SIDE ( 116) 116 FT S/O S WASHINGTON ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,,47.6005,-122.3343,"{'latitude': '47.6005', 'longitude': '-122.3343', 'needs_recoding': False}"
516678,516678,16,1186,137,35,BKR-1449,BKR,1ST AVE S 0020 BLOCK E SIDE ( 117) 117 FT S/O S WASHINGTON ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,,47.6005,-122.334,"{'latitude': '47.6005', 'longitude': '-122.334', 'needs_recoding': False}"
516679,516679,16,1186,212,-32,BKR-1485,BKR,1ST AVE S 0020 BLOCK W SIDE ( 194) 74 FT N/O S MAIN ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,,47.6003,-122.3343,"{'latitude': '47.6003', 'longitude': '-122.3343', 'needs_recoding': False}"
516680,516680,16,1186,222,35,BKR-1532,BKR,1ST AVE S 0020 BLOCK E SIDE ( 202) 64 FT N/O S MAIN ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,,47.6003,-122.334,"{'latitude': '47.6003', 'longitude': '-122.334', 'needs_recoding': False}"
516681,516681,16,3598,82,17,BKR-2116,BKR,24TH AVE NW 0630 BLOCK W SIDE (  69) 69 FT N/O NW 63RD ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6748,-122.3877,"{'latitude': '47.6748', 'longitude': '-122.3877', 'needs_recoding': False}"
516682,516682,16,3599,101,-17,BKR-2412,BKR,24TH AVE NW 0640 BLOCK E SIDE (  88) 88 FT N/O NW 64TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-03T00:00:00,47.6756,-122.3875,"{'latitude': '47.6756', 'longitude': '-122.3875', 'needs_recoding': False}"
516683,516683,16,3605,322,17,BKR-2126,BKR,24TH AVE NW 0770 BLOCK W SIDE ( 309) 309 FT N/O NW 77TH ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-08-12T00:00:00,47.6859,-122.3877,"{'latitude': '47.6859', 'longitude': '-122.3877', 'needs_recoding': False}"
516684,516684,16,3605,480,17,BKR-636,BKR,24TH AVE NW 0770 BLOCK W SIDE ( 467) 175 FT S/O NW 80TH ST,SGL,2,False,GALV,PCC,2006-03-16T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-12T00:00:00,47.6863,-122.3877,"{'latitude': '47.6863', 'longitude': '-122.3877', 'needs_recoding': False}"
516685,516685,16,3605,415,17,BKR-642,BKR,24TH AVE NW 0770 BLOCK W SIDE ( 402) 240 FT S/O NW 80TH ST,SGL,2,False,GALV,PCC,2006-03-16T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-12T00:00:00,47.6861,-122.3877,"{'latitude': '47.6861', 'longitude': '-122.3877', 'needs_recoding': False}"
516686,516686,16,4541,99,-34,BKR-1988,BKR,3RD AVE W 0030 BLOCK E SIDE (  69) 69 FT N/O W THOMAS ST,SGL,2,False,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,GOOD,2009-07-22T00:00:00,47.6212,-122.3605,"{'latitude': '47.6212', 'longitude': '-122.3605', 'needs_recoding': False}"
516687,516687,16,2086,583,-27,BKR-697,BKR,15TH AVE NE 1230 BLOCK E SIDE ( 560) 55 FT S/O NE 125TH ST,SGL,2,False,GALV,PCC,2007-12-05T00:00:00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,GOOD,2009-08-17T00:00:00,47.7192,-122.3126,"{'latitude': '47.7192', 'longitude': '-122.3126', 'needs_recoding': False}"
